Date,t,Open,High,Low,Close
1/11/2020,2448,8162.19,8218.36,8029.64,8037.54
1/10/2020,2447,7878.31,8166.55,7726.77,8166.55
1/9/2020,2446,8082.3,8082.3,7842.4,7879.07
1/8/2020,2445,8161.94,8396.74,7956.77,8079.86
1/7/2020,2444,7768.68,8178.22,7768.23,8163.69
1/6/2020,2443,7410.45,7781.87,7409.29,7769.22
1/5/2020,2442,7410.45,7544.5,7400.54,7411.32
1/4/2020,2441,7345.38,7427.39,7309.51,7410.66
1/3/2020,2440,6984.43,7413.72,6915,7344.88
1/2/2020,2439,7202.55,7212.16,6935.27,6985.47
1/1/2020,2438,7194.89,7254.33,7174.94,7200.17
12/31/2019,2437,7294.44,7335.29,7169.78,7193.6
12/30/2019,2436,7420.27,7454.82,7276.31,7293
12/29/2019,2435,7317.65,7513.95,7279.87,7422.65
12/28/2019,2434,7289.03,7399.04,7286.91,7317.99
12/27/2019,2433,7238.14,7363.53,7189.93,7290.09
12/26/2019,2432,7274.8,7388.3,7200.39,7238.97
12/25/2019,2431,7325.76,7357.02,7220.99,7275.16
12/24/2019,2430,7354.39,7535.72,7269.53,7322.53
12/23/2019,2429,7508.9,7656.18,7326.19,7355.63
12/22/2019,2428,7191.19,7518.03,7167.18,7511.59
12/21/2019,2427,7220.59,7223.23,7112.74,7191.16
12/20/2019,2426,7208.64,7257.92,7086.12,7218.82
12/19/2019,2425,7277.59,7346.6,7041.38,7202.84
12/18/2019,2424,6647.7,7324.98,6540.05,7276.8
12/17/2019,2423,6931.32,6964.07,6587.97,6640.52
12/16/2019,2422,7153.66,7171.17,6903.68,6932.48
12/15/2019,2421,7124.24,7181.08,6924.38,7152.3
12/14/2019,2420,7268.9,7308.84,7097.21,7124.67
12/13/2019,2419,7244.66,7293.56,7227.12,7269.68
12/12/2019,2418,7216.74,7266.64,7164.74,7243.13
12/11/2019,2417,7277.2,7324.16,7195.53,7217.43
12/10/2019,2416,7397.13,7424.02,7246.04,7278.12
12/9/2019,2415,7561.8,7618.09,7365.99,7400.9
12/8/2019,2414,7551.34,7634.61,7476.09,7564.35
12/7/2019,2413,7547.27,7589.95,7525.71,7556.24
12/6/2019,2412,7450.56,7547,7392.18,7547
12/5/2019,2411,7253.24,7743.43,7232.68,7448.31
12/4/2019,2410,7320.13,7539.78,7170.92,7252.03
12/3/2019,2409,7323.98,7418.86,7229.36,7320.15
12/2/2019,2408,7424.04,7474.82,7233.4,7321.99
12/1/2019,2407,7571.62,7571.62,7291.34,7424.29
11/30/2019,2406,7764.06,7836.1,7515.85,7569.63
11/29/2019,2405,7466.73,7781.18,7460.76,7761.24
11/28/2019,2404,7536.82,7730.07,7454.12,7463.11
11/27/2019,2403,7220.88,7619.69,6974.17,7531.66
11/26/2019,2402,7145.16,7320.23,7098.57,7218.37
11/25/2019,2401,7039.98,7319.86,6617.17,7146.13
11/24/2019,2400,7398.63,7408.58,7029.29,7047.92
11/23/2019,2399,7296.16,7442.26,7151.42,7397.8
