Date,t,Open,High,Low,Close,,
10/30/2019,769,2.67,2.68,2.53,2.62,,
10/29/2019,768,2.67,2.77,2.65,2.67,,
10/28/2019,767,2.68,2.89,2.67,2.67,,
10/27/2019,766,2.75,2.77,2.62,2.68,,
10/26/2019,765,2.84,2.99,2.67,2.75,,
10/25/2019,764,2.75,2.93,2.65,2.84,,
10/24/2019,763,2.62,2.79,2.61,2.75,,
10/23/2019,762,2.61,2.69,2.43,2.61,,
10/22/2019,761,2.63,2.82,2.58,2.61,,
10/21/2019,760,2.44,2.67,2.44,2.63,,
10/20/2019,759,2.36,2.44,2.3,2.44,,
10/19/2019,758,2.36,2.4,2.3,2.36,,
10/18/2019,757,2.42,2.51,2.34,2.36,,
10/17/2019,756,2.39,2.48,2.29,2.42,,
10/16/2019,755,2.4,2.42,2.2,2.39,,
10/15/2019,754,2.54,2.6,2.35,2.39,,
10/14/2019,753,2.5,2.67,2.47,2.54,,
10/13/2019,752,2.6,2.65,2.46,2.5,,
10/12/2019,751,2.78,2.78,2.57,2.61,,
10/11/2019,750,2.64,2.81,2.59,2.77,,
10/10/2019,749,2.81,2.81,2.5,2.64,,
10/9/2019,748,2.58,2.94,2.52,2.8,,
10/8/2019,747,2.4,2.63,2.28,2.58,,
10/7/2019,746,2.19,2.49,2.13,2.4,,
10/6/2019,745,1.97,2.27,1.96,2.19,,
10/5/2019,744,1.98,1.98,1.92,1.97,,
10/4/2019,743,1.95,2,1.91,1.98,,
10/3/2019,742,2.02,2.03,1.9,1.95,,
10/2/2019,741,1.84,2.02,1.83,2.02,,
10/1/2019,740,1.76,1.9,1.76,1.84,,
9/30/2019,739,1.72,1.77,1.65,1.76,,
9/29/2019,738,1.69,1.75,1.67,1.72,,
9/28/2019,737,1.67,1.71,1.66,1.69,,
9/27/2019,736,1.66,1.68,1.58,1.67,,
9/26/2019,735,1.76,1.76,1.56,1.66,,
9/25/2019,734,1.74,1.93,1.65,1.76,,
9/24/2019,733,1.81,2.06,1.59,1.74,,
9/23/2019,732,1.82,1.89,1.79,1.81,,
9/22/2019,731,1.89,1.89,1.78,1.82,,
9/21/2019,730,1.83,1.89,1.8,1.89,,
9/20/2019,729,1.88,1.88,1.77,1.83,,
9/19/2019,728,1.81,1.91,1.75,1.88,,
9/18/2019,727,1.63,1.85,1.63,1.81,,
9/17/2019,726,1.58,1.66,1.56,1.63,,
9/16/2019,725,1.62,1.64,1.55,1.58,,
9/15/2019,724,1.57,1.65,1.57,1.62,,
9/14/2019,723,1.58,1.64,1.54,1.57,,
